Goterm,ID,Description,NES,absNES,status,pvalue,pergene,FDR,FDR2
Extracellular matrix structural constituent conferring compression resistance (GO:0030021),GO:0030021,Extracellular matrix structural constituent conferring compression resistance,1.958582236,1.958582236,Up-regulated,0.000425057,0.45,0.024329774,0.024
C-acyltransferase activity (GO:0016408),GO:0016408,C-acyltransferase activity,1.916677973,1.916677973,Up-regulated,0.000773192,0.55,0.03439271,0.034
"Oxidoreductase activity, acting on ch or ch2 groups (GO:0016725)",GO:0016725,"Oxidoreductase activity, acting on ch or ch2 groups",1.914296439,1.914296439,Up-regulated,0.000490631,0.2,0.025619446,0.026
Postsynaptic neurotransmitter receptor activity (GO:0098960),GO:0098960,Postsynaptic neurotransmitter receptor activity,1.832512188,1.832512188,Up-regulated,0.000321138,0.419354839,0.021427013,0.021
Olfactory receptor activity (GO:0004984),GO:0004984,Olfactory receptor activity,1.77651468,1.77651468,Up-regulated,1.42E-06,0.583333333,0.000566688,0.001
Solute:cation symporter activity (GO:0015294),GO:0015294,Solute:cation symporter activity,1.769606962,1.769606962,Up-regulated,0.000117314,0.291666667,0.016465615,0.016
Potassium channel activity (GO:0005267),GO:0005267,Potassium channel activity,1.765058439,1.765058439,Up-regulated,0.000186036,0.41025641,0.017282437,0.017
Symporter activity (GO:0015293),GO:0015293,Symporter activity,1.75580297,1.75580297,Up-regulated,3.35E-05,0.257142857,0.006699753,0.007
Neurotransmitter receptor activity (GO:0030594),GO:0030594,Neurotransmitter receptor activity,1.735273446,1.735273446,Up-regulated,0.000583073,0.346534653,0.028010832,0.028
Monovalent inorganic cation transmembrane transporter activity (GO:0015077),GO:0015077,Monovalent inorganic cation transmembrane transporter activity,1.734873999,1.734873999,Up-regulated,2.99E-07,0.310810811,0.000179606,0.001
Metal ion transmembrane transporter activity (GO:0046873),GO:0046873,Metal ion transmembrane transporter activity,1.73428059,1.73428059,Up-regulated,5.45E-08,0.296650718,6.54E-05,0.001
Organic acid transmembrane transporter activity (GO:0005342),GO:0005342,Organic acid transmembrane transporter activity,1.675005621,1.675005621,Up-regulated,0.000195445,0.318471338,0.017282437,0.017
Carboxylic acid transmembrane transporter activity (GO:0046943),GO:0046943,Carboxylic acid transmembrane transporter activity,1.657493054,1.657493054,Up-regulated,0.000482981,0.314102564,0.025619446,0.026
Serine-type peptidase activity (GO:0008236),GO:0008236,Serine-type peptidase activity,1.624996292,1.624996292,Up-regulated,0.000557698,0.470588235,0.027908142,0.028
Divalent inorganic cation transmembrane transporter activity (GO:0072509),GO:0072509,Divalent inorganic cation transmembrane transporter activity,1.613865062,1.613865062,Up-regulated,0.000622251,0.318471338,0.028743213,0.029
Active ion transmembrane transporter activity (GO:0022853),GO:0022853,Active ion transmembrane transporter activity,1.574160363,1.574160363,Up-regulated,0.000246647,0.266666667,0.018513951,0.019
Organic anion transmembrane transporter activity (GO:0008514),GO:0008514,Organic anion transmembrane transporter activity,1.550404595,1.550404595,Up-regulated,0.00039592,0.248888889,0.024329774,0.024
Cation channel activity (GO:0005261),GO:0005261,Cation channel activity,1.544203475,1.544203475,Up-regulated,0.000137099,0.280864198,0.016465615,0.016
Gated channel activity (GO:0022836),GO:0022836,Gated channel activity,1.53960049,1.53960049,Up-regulated,0.000123707,0.311926606,0.016465615,0.016
Ion channel activity (GO:0005216),GO:0005216,Ion channel activity,1.510200437,1.510200437,Up-regulated,9.03E-05,0.273381295,0.015492407,0.015
Channel activity (GO:0015267),GO:0015267,Channel activity,1.478265142,1.478265142,Up-regulated,0.000275788,0.261437908,0.019483636,0.019
Passive transmembrane transporter activity (GO:0022803),GO:0022803,Passive transmembrane transporter activity,1.473534742,1.473534742,Up-regulated,0.000230241,0.260869565,0.018434628,0.018
Active transmembrane transporter activity (GO:0022804),GO:0022804,Active transmembrane transporter activity,1.449323711,1.449323711,Up-regulated,0.000808969,0.227810651,0.034698977,0.035
Endopeptidase activity (GO:0004175),GO:0004175,Endopeptidase activity,1.429036564,1.429036564,Up-regulated,0.000858076,0.320987654,0.035430131,0.035
Anion transmembrane transporter activity (GO:0008509),GO:0008509,Anion transmembrane transporter activity,1.420334434,1.420334434,Up-regulated,0.000935062,0.229651163,0.035430131,0.035
Transcription coregulator activity (GO:0003712),GO:0003712,Transcription coregulator activity,-1.482143004,1.482143004,Down-regulated,8.94E-06,0.363449692,0.002147662,0.002
NADH dehydrogenase activity (GO:0003954),GO:0003954,Nadh dehydrogenase activity,-1.760018227,1.760018227,Down-regulated,0.000973517,0.347826087,0.035430131,0.035
NADH dehydrogenase (ubiquinone) activity (GO:0008137),GO:0008137,Nadh dehydrogenase (ubiquinone) activity,-1.760018227,1.760018227,Down-regulated,0.000973517,0.347826087,0.035430131,0.035
NADH dehydrogenase (quinone) activity (GO:0050136),GO:0050136,Nadh dehydrogenase (quinone) activity,-1.760018227,1.760018227,Down-regulated,0.000973517,0.347826087,0.035430131,0.035
Beta-catenin binding (GO:0008013),GO:0008013,Beta-catenin binding,-1.781807254,1.781807254,Down-regulated,0.000425417,0.435294118,0.024329774,0.024
rRNA binding (GO:0019843),GO:0019843,Rrna binding,-1.870551172,1.870551172,Down-regulated,0.000201461,0.492063492,0.017282437,0.017
Peptide antigen binding (GO:0042605),GO:0042605,Peptide antigen binding,-2.093366475,2.093366475,Down-regulated,0.000154421,0.714285714,0.016859984,0.017
Haptoglobin binding (GO:0031720),GO:0031720,Haptoglobin binding,-2.163674678,2.163674678,Down-regulated,8.70E-06,0.4,0.002147662,0.002
